Series ID,Units,Gender,Age [years],Disability,Race,Industry and Class of Worker,Educational Attainment,Occupation,Veteran Status,Period of Service,Nativity,Metric,Series Description
TOTLU4554,Thousands of Persons,All,45-54,All,All,All,All,All,All,All,All,level,All/45-54/All/All/All/All/All/All/All/All
CGBD1617W,Percent,Women,16-17,All,All,All,Bachelor's Degree,All,All,All,All,rate,Women/16-17/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUW1617,Thousands of Persons,Women,16-17,All,All,All,Bachelor's Degree,All,All,All,All,level,Women/16-17/All/All/All/Bachelor's Degree/All/All/All/All
HSGS1617W,Percent,Women,16-17,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Women/16-17/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUW1617,Thousands of Persons,Women,16-17,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Women/16-17/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD1617W,Percent,Women,16-17,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Women/16-17/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUW1617,Thousands of Persons,Women,16-17,All,All,All,Less than a High School Diploma,All,All,All,All,level,Women/16-17/All/All/All/Less than a High School Diploma/All/All/All/All
SCAD1617W,Percent,Women,16-17,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Women/16-17/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUW1617,Thousands of Persons,Women,16-17,All,All,All,Some College or Associate Degree,All,All,All,All,level,Women/16-17/All/All/All/Some College or Associate Degree/All/All/All/All
TOTLUM4554,Thousands of Persons,Men,45-54,All,All,All,All,All,All,All,All,level,Men/45-54/All/All/All/All/All/All/All/All
TOTLUW4554,Thousands of Persons,Women,45-54,All,All,All,All,All,All,All,All,level,Women/45-54/All/All/All/All/All/All/All/All
LNU03000018,Thousands of Persons,All,16-19,All,Black or African American,All,All,All,All,All,All,level,All/16-19/All/Black or African American/All/All/All/All/All/All
LNU04000018,Percent,All,16-19,All,Black or African American,All,All,All,All,All,All,rate,All/16-19/All/Black or African American/All/All/All/All/All/All
CGMD1617W,Percent,Women,16-17,All,All,All,Master's Degree,All,All,All,All,rate,Women/16-17/All/All/All/Master's Degree/All/All/All/All
LNU03000021,Thousands of Persons,All,16-19,All,Hispanic or Latino,All,All,All,All,All,All,level,All/16-19/All/Hispanic or Latino/All/All/All/All/All/All
LNU04000021,Percent,All,16-19,All,Hispanic or Latino,All,All,All,All,All,All,rate,All/16-19/All/Hispanic or Latino/All/All/All/All/All/All
CGMDLW1617,Thousands of Persons,Women,16-17,All,All,All,Master's Degree,All,All,All,All,labor_force,Women/16-17/All/All/All/Master's Degree/All/All/All/All
LNU03000015,Thousands of Persons,All,16-19,All,White,All,All,All,All,All,All,level,All/16-19/All/White/All/All/All/All/All/All
LNU04000015,Percent,All,16-19,All,White,All,All,All,All,All,All,rate,All/16-19/All/White/All/All/All/All/All/All
LNU03076955,Thousands of Persons,Men,16-64,With a Disability,All,All,All,All,All,All,All,level,Men/16-64/With a Disability/All/All/All/All/All/All/All
LNU04076955,Percent,Men,16-64,With a Disability,All,All,All,All,All,All,All,rate,Men/16-64/With a Disability/All/All/All/All/All/All/All
LNU03076940,Thousands of Persons,Men,16-64,With No Disability,All,All,All,All,All,All,All,level,Men/16-64/With No Disability/All/All/All/All/All/All/All
LNU04076940,Percent,Men,16-64,With No Disability,All,All,All,All,All,All,All,rate,Men/16-64/With No Disability/All/All/All/All/All/All/All
LNU03076960,Thousands of Persons,Women,16-64,With a Disability,All,All,All,All,All,All,All,level,Women/16-64/With a Disability/All/All/All/All/All/All/All
LNU04076960,Percent,Women,16-64,With a Disability,All,All,All,All,All,All,All,rate,Women/16-64/With a Disability/All/All/All/All/All/All/All
LNU03076945,Thousands of Persons,Women,16-64,With No Disability,All,All,All,All,All,All,All,level,Women/16-64/With No Disability/All/All/All/All/All/All/All
LNU04076945,Percent,Women,16-64,With No Disability,All,All,All,All,All,All,All,rate,Women/16-64/With No Disability/All/All/All/All/All/All/All
TOTLU5564,Thousands of Persons,All,55-64,All,All,All,All,All,All,All,All,level,All/55-64/All/All/All/All/All/All/All/All
TOTLUM5564,Thousands of Persons,Men,55-64,All,All,All,All,All,All,All,All,level,Men/55-64/All/All/All/All/All/All/All/All
CGBD1819,Percent,All,18-19,All,All,All,Bachelor's Degree,All,All,All,All,rate,All/18-19/All/All/All/Bachelor's Degree/All/All/All/All
CGBDU1819,Thousands of Persons,All,18-19,All,All,All,Bachelor's Degree,All,All,All,All,level,All/18-19/All/All/All/Bachelor's Degree/All/All/All/All
HSGS1819,Percent,All,18-19,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"All/18-19/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSU1819,Thousands of Persons,All,18-19,All,All,All,"High School Graduates, No College",All,All,All,All,level,"All/18-19/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD1819,Percent,All,18-19,All,All,All,Less than a High School Diploma,All,All,All,All,rate,All/18-19/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDU1819,Thousands of Persons,All,18-19,All,All,All,Less than a High School Diploma,All,All,All,All,level,All/18-19/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD1819,Percent,All,18-19,All,All,All,Master's Degree,All,All,All,All,rate,All/18-19/All/All/All/Master's Degree/All/All/All/All
CGMDU1819,Thousands of Persons,All,18-19,All,All,All,Master's Degree,All,All,All,All,level,All/18-19/All/All/All/Master's Degree/All/All/All/All
TOTLUW5564,Thousands of Persons,Women,55-64,All,All,All,All,All,All,All,All,level,Women/55-64/All/All/All/All/All/All/All/All
TOTLU65O,Thousands of Persons,All,≥65,All,All,All,All,All,All,All,All,level,All/≥65/All/All/All/All/All/All/All/All
CGBD1819M,Percent,Men,18-19,All,All,All,Bachelor's Degree,All,All,All,All,rate,Men/18-19/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUM1819,Thousands of Persons,Men,18-19,All,All,All,Bachelor's Degree,All,All,All,All,level,Men/18-19/All/All/All/Bachelor's Degree/All/All/All/All
HSGS1819M,Percent,Men,18-19,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Men/18-19/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUM1819,Thousands of Persons,Men,18-19,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Men/18-19/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD1819M,Percent,Men,18-19,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Men/18-19/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUM1819,Thousands of Persons,Men,18-19,All,All,All,Less than a High School Diploma,All,All,All,All,level,Men/18-19/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD1819M,Percent,Men,18-19,All,All,All,Master's Degree,All,All,All,All,rate,Men/18-19/All/All/All/Master's Degree/All/All/All/All
CGMDUM1819,Thousands of Persons,Men,18-19,All,All,All,Master's Degree,All,All,All,All,level,Men/18-19/All/All/All/Master's Degree/All/All/All/All
CGPD1819M,Percent,Men,18-19,All,All,All,Professional Degree,All,All,All,All,rate,Men/18-19/All/All/All/Professional Degree/All/All/All/All
CGPDUM1819,Thousands of Persons,Men,18-19,All,All,All,Professional Degree,All,All,All,All,level,Men/18-19/All/All/All/Professional Degree/All/All/All/All
SCAD1819M,Percent,Men,18-19,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Men/18-19/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUM1819,Thousands of Persons,Men,18-19,All,All,All,Some College or Associate Degree,All,All,All,All,level,Men/18-19/All/All/All/Some College or Associate Degree/All/All/All/All
CGPD1819,Percent,All,18-19,All,All,All,Professional Degree,All,All,All,All,rate,All/18-19/All/All/All/Professional Degree/All/All/All/All
CGPDU1819,Thousands of Persons,All,18-19,All,All,All,Professional Degree,All,All,All,All,level,All/18-19/All/All/All/Professional Degree/All/All/All/All
SCAD1819,Percent,All,18-19,All,All,All,Some College or Associate Degree,All,All,All,All,rate,All/18-19/All/All/All/Some College or Associate Degree/All/All/All/All
SCADU1819,Thousands of Persons,All,18-19,All,All,All,Some College or Associate Degree,All,All,All,All,level,All/18-19/All/All/All/Some College or Associate Degree/All/All/All/All
TOTLUM65O,Thousands of Persons,Men,≥65,All,All,All,All,All,All,All,All,level,Men/≥65/All/All/All/All/All/All/All/All
TOTLUW65O,Thousands of Persons,Women,≥65,All,All,All,All,All,All,All,All,level,Women/≥65/All/All/All/All/All/All/All/All
CGBD1819W,Percent,Women,18-19,All,All,All,Bachelor's Degree,All,All,All,All,rate,Women/18-19/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUW1819,Thousands of Persons,Women,18-19,All,All,All,Bachelor's Degree,All,All,All,All,level,Women/18-19/All/All/All/Bachelor's Degree/All/All/All/All
HSGS1819W,Percent,Women,18-19,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Women/18-19/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUW1819,Thousands of Persons,Women,18-19,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Women/18-19/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD1819W,Percent,Women,18-19,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Women/18-19/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUW1819,Thousands of Persons,Women,18-19,All,All,All,Less than a High School Diploma,All,All,All,All,level,Women/18-19/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD1819W,Percent,Women,18-19,All,All,All,Master's Degree,All,All,All,All,rate,Women/18-19/All/All/All/Master's Degree/All/All/All/All
CGMDUW1819,Thousands of Persons,Women,18-19,All,All,All,Master's Degree,All,All,All,All,level,Women/18-19/All/All/All/Master's Degree/All/All/All/All
CGPD1819W,Percent,Women,18-19,All,All,All,Professional Degree,All,All,All,All,rate,Women/18-19/All/All/All/Professional Degree/All/All/All/All
CGPDUW1819,Thousands of Persons,Women,18-19,All,All,All,Professional Degree,All,All,All,All,level,Women/18-19/All/All/All/Professional Degree/All/All/All/All
SCAD1819W,Percent,Women,18-19,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Women/18-19/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUW1819,Thousands of Persons,Women,18-19,All,All,All,Some College or Associate Degree,All,All,All,All,level,Women/18-19/All/All/All/Some College or Associate Degree/All/All/All/All
LNU04000086,Percent,All,16-17,All,All,All,All,All,All,All,All,rate,All/16-17/All/All/All/All/All/All/All/All
LNU04000152,Percent,Men,16-17,All,All,All,All,All,All,All,All,rate,Men/16-17/All/All/All/All/All/All/All/All
CGBD2024,Percent,All,20-24,All,All,All,Bachelor's Degree,All,All,All,All,rate,All/20-24/All/All/All/Bachelor's Degree/All/All/All/All
CGBDU2024,Thousands of Persons,All,20-24,All,All,All,Bachelor's Degree,All,All,All,All,level,All/20-24/All/All/All/Bachelor's Degree/All/All/All/All
CGDD2024,Percent,All,20-24,All,All,All,Doctoral Degree,All,All,All,All,rate,All/20-24/All/All/All/Doctoral Degree/All/All/All/All
CGDDU2024,Thousands of Persons,All,20-24,All,All,All,Doctoral Degree,All,All,All,All,level,All/20-24/All/All/All/Doctoral Degree/All/All/All/All
HSGS2024,Percent,All,20-24,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"All/20-24/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSU2024,Thousands of Persons,All,20-24,All,All,All,"High School Graduates, No College",All,All,All,All,level,"All/20-24/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD2024,Percent,All,20-24,All,All,All,Less than a High School Diploma,All,All,All,All,rate,All/20-24/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDU2024,Thousands of Persons,All,20-24,All,All,All,Less than a High School Diploma,All,All,All,All,level,All/20-24/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD2024,Percent,All,20-24,All,All,All,Master's Degree,All,All,All,All,rate,All/20-24/All/All/All/Master's Degree/All/All/All/All
CGMDU2024,Thousands of Persons,All,20-24,All,All,All,Master's Degree,All,All,All,All,level,All/20-24/All/All/All/Master's Degree/All/All/All/All
LNU04000317,Percent,Women,16-17,All,All,All,All,All,All,All,All,rate,Women/16-17/All/All/All/All/All/All/All/All
CGBD2024M,Percent,Men,20-24,All,All,All,Bachelor's Degree,All,All,All,All,rate,Men/20-24/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUM2024,Thousands of Persons,Men,20-24,All,All,All,Bachelor's Degree,All,All,All,All,level,Men/20-24/All/All/All/Bachelor's Degree/All/All/All/All
CGDD2024M,Percent,Men,20-24,All,All,All,Doctoral Degree,All,All,All,All,rate,Men/20-24/All/All/All/Doctoral Degree/All/All/All/All
CGDDUM2024,Thousands of Persons,Men,20-24,All,All,All,Doctoral Degree,All,All,All,All,level,Men/20-24/All/All/All/Doctoral Degree/All/All/All/All
HSGS2024M,Percent,Men,20-24,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Men/20-24/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUM2024,Thousands of Persons,Men,20-24,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Men/20-24/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD2024M,Percent,Men,20-24,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Men/20-24/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUM2024,Thousands of Persons,Men,20-24,All,All,All,Less than a High School Diploma,All,All,All,All,level,Men/20-24/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD2024M,Percent,Men,20-24,All,All,All,Master's Degree,All,All,All,All,rate,Men/20-24/All/All/All/Master's Degree/All/All/All/All
CGMDUM2024,Thousands of Persons,Men,20-24,All,All,All,Master's Degree,All,All,All,All,level,Men/20-24/All/All/All/Master's Degree/All/All/All/All
CGPD2024M,Percent,Men,20-24,All,All,All,Professional Degree,All,All,All,All,rate,Men/20-24/All/All/All/Professional Degree/All/All/All/All
CGPDUM2024,Thousands of Persons,Men,20-24,All,All,All,Professional Degree,All,All,All,All,level,Men/20-24/All/All/All/Professional Degree/All/All/All/All
SCAD2024M,Percent,Men,20-24,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Men/20-24/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUM2024,Thousands of Persons,Men,20-24,All,All,All,Some College or Associate Degree,All,All,All,All,level,Men/20-24/All/All/All/Some College or Associate Degree/All/All/All/All
CGPD2024,Percent,All,20-24,All,All,All,Professional Degree,All,All,All,All,rate,All/20-24/All/All/All/Professional Degree/All/All/All/All
CGPDU2024,Thousands of Persons,All,20-24,All,All,All,Professional Degree,All,All,All,All,level,All/20-24/All/All/All/Professional Degree/All/All/All/All
SCAD2024,Percent,All,20-24,All,All,All,Some College or Associate Degree,All,All,All,All,rate,All/20-24/All/All/All/Some College or Associate Degree/All/All/All/All
SCADU2024,Thousands of Persons,All,20-24,All,All,All,Some College or Associate Degree,All,All,All,All,level,All/20-24/All/All/All/Some College or Associate Degree/All/All/All/All
LNU04000088,Percent,All,18-19,All,All,All,All,All,All,All,All,rate,All/18-19/All/All/All/All/All/All/All/All
LNU04000154,Percent,Men,18-19,All,All,All,All,All,All,All,All,rate,Men/18-19/All/All/All/All/All/All/All/All
CGBD2024W,Percent,Women,20-24,All,All,All,Bachelor's Degree,All,All,All,All,rate,Women/20-24/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUW2024,Thousands of Persons,Women,20-24,All,All,All,Bachelor's Degree,All,All,All,All,level,Women/20-24/All/All/All/Bachelor's Degree/All/All/All/All
CGDD2024W,Percent,Women,20-24,All,All,All,Doctoral Degree,All,All,All,All,rate,Women/20-24/All/All/All/Doctoral Degree/All/All/All/All
CGDDUW2024,Thousands of Persons,Women,20-24,All,All,All,Doctoral Degree,All,All,All,All,level,Women/20-24/All/All/All/Doctoral Degree/All/All/All/All
HSGS2024W,Percent,Women,20-24,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Women/20-24/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUW2024,Thousands of Persons,Women,20-24,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Women/20-24/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD2024W,Percent,Women,20-24,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Women/20-24/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUW2024,Thousands of Persons,Women,20-24,All,All,All,Less than a High School Diploma,All,All,All,All,level,Women/20-24/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD2024W,Percent,Women,20-24,All,All,All,Master's Degree,All,All,All,All,rate,Women/20-24/All/All/All/Master's Degree/All/All/All/All
CGMDUW2024,Thousands of Persons,Women,20-24,All,All,All,Master's Degree,All,All,All,All,level,Women/20-24/All/All/All/Master's Degree/All/All/All/All
CGPD2024W,Percent,Women,20-24,All,All,All,Professional Degree,All,All,All,All,rate,Women/20-24/All/All/All/Professional Degree/All/All/All/All
CGPDUW2024,Thousands of Persons,Women,20-24,All,All,All,Professional Degree,All,All,All,All,level,Women/20-24/All/All/All/Professional Degree/All/All/All/All
SCAD2024W,Percent,Women,20-24,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Women/20-24/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUW2024,Thousands of Persons,Women,20-24,All,All,All,Some College or Associate Degree,All,All,All,All,level,Women/20-24/All/All/All/Some College or Associate Degree/All/All/All/All
LNU04000319,Percent,Women,18-19,All,All,All,All,All,All,All,All,rate,Women/18-19/All/All/All/All/All/All/All/All
CGBD2534,Percent,All,25-34,All,All,All,Bachelor's Degree,All,All,All,All,rate,All/25-34/All/All/All/Bachelor's Degree/All/All/All/All
CGBDU2534,Thousands of Persons,All,25-34,All,All,All,Bachelor's Degree,All,All,All,All,level,All/25-34/All/All/All/Bachelor's Degree/All/All/All/All
CGDD2534,Percent,All,25-34,All,All,All,Doctoral Degree,All,All,All,All,rate,All/25-34/All/All/All/Doctoral Degree/All/All/All/All
CGDDU2534,Thousands of Persons,All,25-34,All,All,All,Doctoral Degree,All,All,All,All,level,All/25-34/All/All/All/Doctoral Degree/All/All/All/All
HSGS2534,Percent,All,25-34,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"All/25-34/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSU2534,Thousands of Persons,All,25-34,All,All,All,"High School Graduates, No College",All,All,All,All,level,"All/25-34/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD2534,Percent,All,25-34,All,All,All,Less than a High School Diploma,All,All,All,All,rate,All/25-34/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDU2534,Thousands of Persons,All,25-34,All,All,All,Less than a High School Diploma,All,All,All,All,level,All/25-34/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD2534,Percent,All,25-34,All,All,All,Master's Degree,All,All,All,All,rate,All/25-34/All/All/All/Master's Degree/All/All/All/All
CGMDU2534,Thousands of Persons,All,25-34,All,All,All,Master's Degree,All,All,All,All,level,All/25-34/All/All/All/Master's Degree/All/All/All/All
LNU04000036,Percent,All,20-24,All,All,All,All,All,All,All,All,rate,All/20-24/All/All/All/All/All/All/All/All
CGBD2534M,Percent,Men,25-34,All,All,All,Bachelor's Degree,All,All,All,All,rate,Men/25-34/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUM2534,Thousands of Persons,Men,25-34,All,All,All,Bachelor's Degree,All,All,All,All,level,Men/25-34/All/All/All/Bachelor's Degree/All/All/All/All
CGDD2534M,Percent,Men,25-34,All,All,All,Doctoral Degree,All,All,All,All,rate,Men/25-34/All/All/All/Doctoral Degree/All/All/All/All
CGDDUM2534,Thousands of Persons,Men,25-34,All,All,All,Doctoral Degree,All,All,All,All,level,Men/25-34/All/All/All/Doctoral Degree/All/All/All/All
HSGS2534M,Percent,Men,25-34,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Men/25-34/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUM2534,Thousands of Persons,Men,25-34,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Men/25-34/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD2534M,Percent,Men,25-34,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Men/25-34/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUM2534,Thousands of Persons,Men,25-34,All,All,All,Less than a High School Diploma,All,All,All,All,level,Men/25-34/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD2534M,Percent,Men,25-34,All,All,All,Master's Degree,All,All,All,All,rate,Men/25-34/All/All/All/Master's Degree/All/All/All/All
CGMDUM2534,Thousands of Persons,Men,25-34,All,All,All,Master's Degree,All,All,All,All,level,Men/25-34/All/All/All/Master's Degree/All/All/All/All
CGPD2534M,Percent,Men,25-34,All,All,All,Professional Degree,All,All,All,All,rate,Men/25-34/All/All/All/Professional Degree/All/All/All/All
CGPDUM2534,Thousands of Persons,Men,25-34,All,All,All,Professional Degree,All,All,All,All,level,Men/25-34/All/All/All/Professional Degree/All/All/All/All
SCAD2534M,Percent,Men,25-34,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Men/25-34/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUM2534,Thousands of Persons,Men,25-34,All,All,All,Some College or Associate Degree,All,All,All,All,level,Men/25-34/All/All/All/Some College or Associate Degree/All/All/All/All
CGPD2534,Percent,All,25-34,All,All,All,Professional Degree,All,All,All,All,rate,All/25-34/All/All/All/Professional Degree/All/All/All/All
CGPDU2534,Thousands of Persons,All,25-34,All,All,All,Professional Degree,All,All,All,All,level,All/25-34/All/All/All/Professional Degree/All/All/All/All
SCAD2534,Percent,All,25-34,All,All,All,Some College or Associate Degree,All,All,All,All,rate,All/25-34/All/All/All/Some College or Associate Degree/All/All/All/All
SCADU2534,Thousands of Persons,All,25-34,All,All,All,Some College or Associate Degree,All,All,All,All,level,All/25-34/All/All/All/Some College or Associate Degree/All/All/All/All
LNU04000037,Percent,Men,20-24,All,All,All,All,All,All,All,All,rate,Men/20-24/All/All/All/All/All/All/All/All
LNU04000038,Percent,Women,20-24,All,All,All,All,All,All,All,All,rate,Women/20-24/All/All/All/All/All/All/All/All
CGBD2534W,Percent,Women,25-34,All,All,All,Bachelor's Degree,All,All,All,All,rate,Women/25-34/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUW2534,Thousands of Persons,Women,25-34,All,All,All,Bachelor's Degree,All,All,All,All,level,Women/25-34/All/All/All/Bachelor's Degree/All/All/All/All
CGDD2534W,Percent,Women,25-34,All,All,All,Doctoral Degree,All,All,All,All,rate,Women/25-34/All/All/All/Doctoral Degree/All/All/All/All
CGDDUW2534,Thousands of Persons,Women,25-34,All,All,All,Doctoral Degree,All,All,All,All,level,Women/25-34/All/All/All/Doctoral Degree/All/All/All/All
HSGS2534W,Percent,Women,25-34,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Women/25-34/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUW2534,Thousands of Persons,Women,25-34,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Women/25-34/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD2534W,Percent,Women,25-34,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Women/25-34/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUW2534,Thousands of Persons,Women,25-34,All,All,All,Less than a High School Diploma,All,All,All,All,level,Women/25-34/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD2534W,Percent,Women,25-34,All,All,All,Master's Degree,All,All,All,All,rate,Women/25-34/All/All/All/Master's Degree/All/All/All/All
CGMDUW2534,Thousands of Persons,Women,25-34,All,All,All,Master's Degree,All,All,All,All,level,Women/25-34/All/All/All/Master's Degree/All/All/All/All
CGPD2534W,Percent,Women,25-34,All,All,All,Professional Degree,All,All,All,All,rate,Women/25-34/All/All/All/Professional Degree/All/All/All/All
CGPDUW2534,Thousands of Persons,Women,25-34,All,All,All,Professional Degree,All,All,All,All,level,Women/25-34/All/All/All/Professional Degree/All/All/All/All
SCAD2534W,Percent,Women,25-34,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Women/25-34/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUW2534,Thousands of Persons,Women,25-34,All,All,All,Some College or Associate Degree,All,All,All,All,level,Women/25-34/All/All/All/Some College or Associate Degree/All/All/All/All
CGBD3544,Percent,All,35-44,All,All,All,Bachelor's Degree,All,All,All,All,rate,All/35-44/All/All/All/Bachelor's Degree/All/All/All/All
CGBDU3544,Thousands of Persons,All,35-44,All,All,All,Bachelor's Degree,All,All,All,All,level,All/35-44/All/All/All/Bachelor's Degree/All/All/All/All
CGDD3544,Percent,All,35-44,All,All,All,Doctoral Degree,All,All,All,All,rate,All/35-44/All/All/All/Doctoral Degree/All/All/All/All
CGDDU3544,Thousands of Persons,All,35-44,All,All,All,Doctoral Degree,All,All,All,All,level,All/35-44/All/All/All/Doctoral Degree/All/All/All/All
HSGS3544,Percent,All,35-44,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"All/35-44/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSU3544,Thousands of Persons,All,35-44,All,All,All,"High School Graduates, No College",All,All,All,All,level,"All/35-44/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD3544,Percent,All,35-44,All,All,All,Less than a High School Diploma,All,All,All,All,rate,All/35-44/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDU3544,Thousands of Persons,All,35-44,All,All,All,Less than a High School Diploma,All,All,All,All,level,All/35-44/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD3544,Percent,All,35-44,All,All,All,Master's Degree,All,All,All,All,rate,All/35-44/All/All/All/Master's Degree/All/All/All/All
CGMDU3544,Thousands of Persons,All,35-44,All,All,All,Master's Degree,All,All,All,All,level,All/35-44/All/All/All/Master's Degree/All/All/All/All
LNU04000089,Percent,All,25-34,All,All,All,All,All,All,All,All,rate,All/25-34/All/All/All/All/All/All/All/All
CGBD3544M,Percent,Men,35-44,All,All,All,Bachelor's Degree,All,All,All,All,rate,Men/35-44/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUM3544,Thousands of Persons,Men,35-44,All,All,All,Bachelor's Degree,All,All,All,All,level,Men/35-44/All/All/All/Bachelor's Degree/All/All/All/All
CGDD3544M,Percent,Men,35-44,All,All,All,Doctoral Degree,All,All,All,All,rate,Men/35-44/All/All/All/Doctoral Degree/All/All/All/All
CGDDUM3544,Thousands of Persons,Men,35-44,All,All,All,Doctoral Degree,All,All,All,All,level,Men/35-44/All/All/All/Doctoral Degree/All/All/All/All
HSGS3544M,Percent,Men,35-44,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Men/35-44/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUM3544,Thousands of Persons,Men,35-44,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Men/35-44/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD3544M,Percent,Men,35-44,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Men/35-44/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUM3544,Thousands of Persons,Men,35-44,All,All,All,Less than a High School Diploma,All,All,All,All,level,Men/35-44/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD3544M,Percent,Men,35-44,All,All,All,Master's Degree,All,All,All,All,rate,Men/35-44/All/All/All/Master's Degree/All/All/All/All
CGMDUM3544,Thousands of Persons,Men,35-44,All,All,All,Master's Degree,All,All,All,All,level,Men/35-44/All/All/All/Master's Degree/All/All/All/All
CGPD3544M,Percent,Men,35-44,All,All,All,Professional Degree,All,All,All,All,rate,Men/35-44/All/All/All/Professional Degree/All/All/All/All
